group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,1047890.0,ns,3
arithmetic/hydroflow/compiled,,,,,2255279.0,ns,6
arithmetic/hydroflow/compiled,,,,,3371767.0,ns,9
arithmetic/hydroflow/compiled,,,,,4489857.0,ns,12
arithmetic/hydroflow/compiled,,,,,5609447.0,ns,15
arithmetic/hydroflow/compiled,,,,,6745535.0,ns,18
arithmetic/hydroflow/compiled,,,,,7885524.0,ns,21
arithmetic/hydroflow/compiled,,,,,8996714.0,ns,24
arithmetic/hydroflow/compiled,,,,,10116903.0,ns,27
arithmetic/hydroflow/compiled,,,,,11207693.0,ns,30
arithmetic/hydroflow/compiled,,,,,12362582.0,ns,33
arithmetic/hydroflow/compiled,,,,,13481370.0,ns,36
arithmetic/hydroflow/compiled,,,,,14608260.0,ns,39
arithmetic/hydroflow/compiled,,,,,15772649.0,ns,42
arithmetic/hydroflow/compiled,,,,,16855539.0,ns,45
arithmetic/hydroflow/compiled,,,,,17994428.0,ns,48
arithmetic/hydroflow/compiled,,,,,19130116.0,ns,51
arithmetic/hydroflow/compiled,,,,,20231807.0,ns,54
arithmetic/hydroflow/compiled,,,,,21358395.0,ns,57
arithmetic/hydroflow/compiled,,,,,22491584.0,ns,60
arithmetic/hydroflow/compiled,,,,,23613874.0,ns,63
arithmetic/hydroflow/compiled,,,,,24742163.0,ns,66
arithmetic/hydroflow/compiled,,,,,25850453.0,ns,69
arithmetic/hydroflow/compiled,,,,,26925142.0,ns,72
arithmetic/hydroflow/compiled,,,,,28101831.0,ns,75
arithmetic/hydroflow/compiled,,,,,29230020.0,ns,78
arithmetic/hydroflow/compiled,,,,,30334909.0,ns,81
arithmetic/hydroflow/compiled,,,,,31463999.0,ns,84
arithmetic/hydroflow/compiled,,,,,32591787.0,ns,87
arithmetic/hydroflow/compiled,,,,,33713778.0,ns,90
arithmetic/hydroflow/compiled,,,,,34842066.0,ns,93
arithmetic/hydroflow/compiled,,,,,35947355.0,ns,96
arithmetic/hydroflow/compiled,,,,,37110845.0,ns,99
arithmetic/hydroflow/compiled,,,,,38227234.0,ns,102
arithmetic/hydroflow/compiled,,,,,39382823.0,ns,105
arithmetic/hydroflow/compiled,,,,,40518211.0,ns,108
arithmetic/hydroflow/compiled,,,,,41592802.0,ns,111
arithmetic/hydroflow/compiled,,,,,42699091.0,ns,114
arithmetic/hydroflow/compiled,,,,,43815080.0,ns,117
arithmetic/hydroflow/compiled,,,,,44953970.0,ns,120
arithmetic/hydroflow/compiled,,,,,46096758.0,ns,123
arithmetic/hydroflow/compiled,,,,,47177848.0,ns,126
arithmetic/hydroflow/compiled,,,,,48333437.0,ns,129
arithmetic/hydroflow/compiled,,,,,49475526.0,ns,132
arithmetic/hydroflow/compiled,,,,,50576916.0,ns,135
arithmetic/hydroflow/compiled,,,,,51759202.0,ns,138
arithmetic/hydroflow/compiled,,,,,52830256.0,ns,141
arithmetic/hydroflow/compiled,,,,,53988164.0,ns,144
arithmetic/hydroflow/compiled,,,,,55063972.0,ns,147
arithmetic/hydroflow/compiled,,,,,56203580.0,ns,150
arithmetic/hydroflow/compiled,,,,,58962898.0,ns,153
arithmetic/hydroflow/compiled,,,,,58452195.0,ns,156
arithmetic/hydroflow/compiled,,,,,59644303.0,ns,159
arithmetic/hydroflow/compiled,,,,,60710510.0,ns,162
arithmetic/hydroflow/compiled,,,,,61838618.0,ns,165
arithmetic/hydroflow/compiled,,,,,62947525.0,ns,168
arithmetic/hydroflow/compiled,,,,,64077933.0,ns,171
arithmetic/hydroflow/compiled,,,,,65157640.0,ns,174
arithmetic/hydroflow/compiled,,,,,66301748.0,ns,177
arithmetic/hydroflow/compiled,,,,,67466456.0,ns,180
arithmetic/hydroflow/compiled,,,,,68537263.0,ns,183
arithmetic/hydroflow/compiled,,,,,69660071.0,ns,186
arithmetic/hydroflow/compiled,,,,,70787478.0,ns,189
arithmetic/hydroflow/compiled,,,,,71921086.0,ns,192
arithmetic/hydroflow/compiled,,,,,73065593.0,ns,195
arithmetic/hydroflow/compiled,,,,,74219702.0,ns,198
arithmetic/hydroflow/compiled,,,,,75332909.0,ns,201
arithmetic/hydroflow/compiled,,,,,76463116.0,ns,204
arithmetic/hydroflow/compiled,,,,,77665525.0,ns,207
arithmetic/hydroflow/compiled,,,,,78763532.0,ns,210
arithmetic/hydroflow/compiled,,,,,79807839.0,ns,213
arithmetic/hydroflow/compiled,,,,,80911347.0,ns,216
arithmetic/hydroflow/compiled,,,,,82056954.0,ns,219
arithmetic/hydroflow/compiled,,,,,83244463.0,ns,222
arithmetic/hydroflow/compiled,,,,,84233169.0,ns,225
arithmetic/hydroflow/compiled,,,,,85388677.0,ns,228
arithmetic/hydroflow/compiled,,,,,86648885.0,ns,231
arithmetic/hydroflow/compiled,,,,,87752393.0,ns,234
arithmetic/hydroflow/compiled,,,,,88858100.0,ns,237
arithmetic/hydroflow/compiled,,,,,89995708.0,ns,240
arithmetic/hydroflow/compiled,,,,,91054715.0,ns,243
arithmetic/hydroflow/compiled,,,,,92223623.0,ns,246
arithmetic/hydroflow/compiled,,,,,93408631.0,ns,249
arithmetic/hydroflow/compiled,,,,,94507739.0,ns,252
arithmetic/hydroflow/compiled,,,,,95616946.0,ns,255
arithmetic/hydroflow/compiled,,,,,96750054.0,ns,258
arithmetic/hydroflow/compiled,,,,,97814060.0,ns,261
arithmetic/hydroflow/compiled,,,,,98909569.0,ns,264
arithmetic/hydroflow/compiled,,,,,100055876.0,ns,267
arithmetic/hydroflow/compiled,,,,,101249684.0,ns,270
arithmetic/hydroflow/compiled,,,,,102414591.0,ns,273
arithmetic/hydroflow/compiled,,,,,103418699.0,ns,276
arithmetic/hydroflow/compiled,,,,,104606207.0,ns,279
arithmetic/hydroflow/compiled,,,,,105734214.0,ns,282
arithmetic/hydroflow/compiled,,,,,106732521.0,ns,285
arithmetic/hydroflow/compiled,,,,,107969330.0,ns,288
arithmetic/hydroflow/compiled,,,,,109168137.0,ns,291
arithmetic/hydroflow/compiled,,,,,110166444.0,ns,294
arithmetic/hydroflow/compiled,,,,,111312952.0,ns,297
arithmetic/hydroflow/compiled,,,,,112461860.0,ns,300
