group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,913012.0,ns,3
arithmetic/hydroflow/compiled,,,,,1993128.0,ns,6
arithmetic/hydroflow/compiled,,,,,2981142.0,ns,9
arithmetic/hydroflow/compiled,,,,,3981656.0,ns,12
arithmetic/hydroflow/compiled,,,,,4977569.0,ns,15
arithmetic/hydroflow/compiled,,,,,5974884.0,ns,18
arithmetic/hydroflow/compiled,,,,,6965297.0,ns,21
arithmetic/hydroflow/compiled,,,,,7964812.0,ns,24
arithmetic/hydroflow/compiled,,,,,8958925.0,ns,27
arithmetic/hydroflow/compiled,,,,,9949839.0,ns,30
arithmetic/hydroflow/compiled,,,,,10953254.0,ns,33
arithmetic/hydroflow/compiled,,,,,11955167.0,ns,36
arithmetic/hydroflow/compiled,,,,,12950081.0,ns,39
arithmetic/hydroflow/compiled,,,,,13949495.0,ns,42
arithmetic/hydroflow/compiled,,,,,14932709.0,ns,45
arithmetic/hydroflow/compiled,,,,,15935023.0,ns,48
arithmetic/hydroflow/compiled,,,,,16919837.0,ns,51
arithmetic/hydroflow/compiled,,,,,17920151.0,ns,54
arithmetic/hydroflow/compiled,,,,,18910864.0,ns,57
arithmetic/hydroflow/compiled,,,,,19921579.0,ns,60
arithmetic/hydroflow/compiled,,,,,20906592.0,ns,63
arithmetic/hydroflow/compiled,,,,,21912407.0,ns,66
arithmetic/hydroflow/compiled,,,,,22895020.0,ns,69
arithmetic/hydroflow/compiled,,,,,23901435.0,ns,72
arithmetic/hydroflow/compiled,,,,,24931848.0,ns,75
arithmetic/hydroflow/compiled,,,,,25882563.0,ns,78
arithmetic/hydroflow/compiled,,,,,26895176.0,ns,81
arithmetic/hydroflow/compiled,,,,,27896390.0,ns,84
arithmetic/hydroflow/compiled,,,,,28894604.0,ns,87
arithmetic/hydroflow/compiled,,,,,29919019.0,ns,90
arithmetic/hydroflow/compiled,,,,,30861332.0,ns,93
arithmetic/hydroflow/compiled,,,,,31867746.0,ns,96
arithmetic/hydroflow/compiled,,,,,32855659.0,ns,99
arithmetic/hydroflow/compiled,,,,,33850274.0,ns,102
arithmetic/hydroflow/compiled,,,,,34851287.0,ns,105
arithmetic/hydroflow/compiled,,,,,35858302.0,ns,108
arithmetic/hydroflow/compiled,,,,,36846516.0,ns,111
arithmetic/hydroflow/compiled,,,,,37848129.0,ns,114
arithmetic/hydroflow/compiled,,,,,38834543.0,ns,117
arithmetic/hydroflow/compiled,,,,,39827958.0,ns,120
arithmetic/hydroflow/compiled,,,,,40825471.0,ns,123
arithmetic/hydroflow/compiled,,,,,41827585.0,ns,126
arithmetic/hydroflow/compiled,,,,,42817699.0,ns,129
arithmetic/hydroflow/compiled,,,,,43842713.0,ns,132
arithmetic/hydroflow/compiled,,,,,44801927.0,ns,135
arithmetic/hydroflow/compiled,,,,,45793241.0,ns,138
arithmetic/hydroflow/compiled,,,,,46813555.0,ns,141
arithmetic/hydroflow/compiled,,,,,47796268.0,ns,144
arithmetic/hydroflow/compiled,,,,,48782683.0,ns,147
arithmetic/hydroflow/compiled,,,,,49758396.0,ns,150
arithmetic/hydroflow/compiled,,,,,50787311.0,ns,153
arithmetic/hydroflow/compiled,,,,,51770324.0,ns,156
arithmetic/hydroflow/compiled,,,,,52787638.0,ns,159
arithmetic/hydroflow/compiled,,,,,53835854.0,ns,162
arithmetic/hydroflow/compiled,,,,,54771266.0,ns,165
arithmetic/hydroflow/compiled,,,,,55755180.0,ns,168
arithmetic/hydroflow/compiled,,,,,56753894.0,ns,171
arithmetic/hydroflow/compiled,,,,,57759808.0,ns,174
arithmetic/hydroflow/compiled,,,,,58771022.0,ns,177
arithmetic/hydroflow/compiled,,,,,59787837.0,ns,180
arithmetic/hydroflow/compiled,,,,,60752150.0,ns,183
arithmetic/hydroflow/compiled,,,,,61842865.0,ns,186
arithmetic/hydroflow/compiled,,,,,62757178.0,ns,189
arithmetic/hydroflow/compiled,,,,,63733392.0,ns,192
arithmetic/hydroflow/compiled,,,,,64712505.0,ns,195
arithmetic/hydroflow/compiled,,,,,65739220.0,ns,198
arithmetic/hydroflow/compiled,,,,,66708533.0,ns,201
arithmetic/hydroflow/compiled,,,,,67713347.0,ns,204
arithmetic/hydroflow/compiled,,,,,68717162.0,ns,207
arithmetic/hydroflow/compiled,,,,,69733175.0,ns,210
arithmetic/hydroflow/compiled,,,,,70756590.0,ns,213
arithmetic/hydroflow/compiled,,,,,71704203.0,ns,216
arithmetic/hydroflow/compiled,,,,,72682317.0,ns,219
arithmetic/hydroflow/compiled,,,,,73693331.0,ns,222
arithmetic/hydroflow/compiled,,,,,74702245.0,ns,225
arithmetic/hydroflow/compiled,,,,,75693559.0,ns,228
arithmetic/hydroflow/compiled,,,,,76702673.0,ns,231
arithmetic/hydroflow/compiled,,,,,77673187.0,ns,234
arithmetic/hydroflow/compiled,,,,,78676301.0,ns,237
arithmetic/hydroflow/compiled,,,,,79674414.0,ns,240
arithmetic/hydroflow/compiled,,,,,80657029.0,ns,243
arithmetic/hydroflow/compiled,,,,,81651842.0,ns,246
arithmetic/hydroflow/compiled,,,,,82718157.0,ns,249
arithmetic/hydroflow/compiled,,,,,83648771.0,ns,252
arithmetic/hydroflow/compiled,,,,,84655657.0,ns,255
arithmetic/hydroflow/compiled,,,,,85632170.0,ns,258
arithmetic/hydroflow/compiled,,,,,86694384.0,ns,261
arithmetic/hydroflow/compiled,,,,,87645797.0,ns,264
arithmetic/hydroflow/compiled,,,,,88633211.0,ns,267
arithmetic/hydroflow/compiled,,,,,89954228.0,ns,270
arithmetic/hydroflow/compiled,,,,,90635238.0,ns,273
arithmetic/hydroflow/compiled,,,,,91618851.0,ns,276
arithmetic/hydroflow/compiled,,,,,92616064.0,ns,279
arithmetic/hydroflow/compiled,,,,,93782980.0,ns,282
arithmetic/hydroflow/compiled,,,,,94776195.0,ns,285
arithmetic/hydroflow/compiled,,,,,95580105.0,ns,288
arithmetic/hydroflow/compiled,,,,,96603920.0,ns,291
arithmetic/hydroflow/compiled,,,,,97576333.0,ns,294
arithmetic/hydroflow/compiled,,,,,98560446.0,ns,297
arithmetic/hydroflow/compiled,,,,,99580560.0,ns,300
