group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/compiled (push),,,,,54549515.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54099715.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55624116.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55519715.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55284416.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54612215.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54894315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56687116.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55564816.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53384615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53359115.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54914815.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55917816.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54698415.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55442416.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55061315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55319615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53860715.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54286016.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53873915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54465615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55625915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55272316.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55553915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54084916.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53195514.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53093615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56347516.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54697815.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53888515.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56909516.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55969516.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55047315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55826216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53863815.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54694315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55500016.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55509115.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54507116.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55843615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,63911618.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56093216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56228916.0,ns,7
fan_out/hydroflow/compiled (push),,,,,59285216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55499116.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53556415.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55711215.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53277015.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54195315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54954216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53292614.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55531416.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54086515.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54929416.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52550114.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54421315.0,ns,7
fan_out/hydroflow/compiled (push),,,,,50823415.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54148015.0,ns,7
fan_out/hydroflow/compiled (push),,,,,51554014.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53622415.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52180615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52816215.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54260015.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52373914.0,ns,7
fan_out/hydroflow/compiled (push),,,,,52571915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54054015.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54563015.0,ns,7
fan_out/hydroflow/compiled (push),,,,,54729416.0,ns,7
fan_out/hydroflow/compiled (push),,,,,56042815.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53698915.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55278216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,57181216.0,ns,7
fan_out/hydroflow/compiled (push),,,,,55826615.0,ns,7
fan_out/hydroflow/compiled (push),,,,,53728915.0,ns,7
