group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/compiled (push),,,,,50478825.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50430523.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50421624.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50490525.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50502225.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50400123.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50397324.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50419323.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50388523.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50429624.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50415524.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50462724.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425524.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50417224.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50432824.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50421723.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425824.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50423424.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50428424.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425023.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50588627.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50410823.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50440725.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50412523.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50404523.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50402324.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50453124.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50407123.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50389124.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50496125.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50430523.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50419124.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50406454.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50410617.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425717.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50406917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50459818.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50448417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50402517.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50401717.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50408317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50388916.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50423517.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50416417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50403117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50379916.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50437018.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425217.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50423017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50400317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50436317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50439917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50428117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50398517.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50419117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50439817.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50411117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50435418.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50405316.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50411017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50440118.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50416417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50446117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50392617.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50441117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420617.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50406817.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50431017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50413117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50433017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50484618.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420517.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50433518.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50421317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425617.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50422817.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50411417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50422317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50415717.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50425417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50415017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50426117.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50417317.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50420817.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50436717.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50450718.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50419917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50413517.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50435217.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50429917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50422017.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50403417.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50435717.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50434917.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50431718.0,ns,8
fan_out/hydroflow/compiled (push),,,,,50396316.0,ns,8
