group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/scheduled,,,,,96768857.0,ns,1
fan_out/hydroflow/scheduled,,,,,110471336.0,ns,1
fan_out/hydroflow/scheduled,,,,,108738125.0,ns,1
fan_out/hydroflow/scheduled,,,,,107037016.0,ns,1
fan_out/hydroflow/scheduled,,,,,97256160.0,ns,1
fan_out/hydroflow/scheduled,,,,,93845340.0,ns,1
fan_out/hydroflow/scheduled,,,,,106651713.0,ns,1
fan_out/hydroflow/scheduled,,,,,104462401.0,ns,1
fan_out/hydroflow/scheduled,,,,,100766480.0,ns,1
fan_out/hydroflow/scheduled,,,,,100981581.0,ns,1
fan_out/hydroflow/scheduled,,,,,93076636.0,ns,1
fan_out/hydroflow/scheduled,,,,,93748939.0,ns,1
fan_out/hydroflow/scheduled,,,,,93966241.0,ns,1
fan_out/hydroflow/scheduled,,,,,92971935.0,ns,1
fan_out/hydroflow/scheduled,,,,,95934152.0,ns,1
fan_out/hydroflow/scheduled,,,,,103885997.0,ns,1
fan_out/hydroflow/scheduled,,,,,101040782.0,ns,1
fan_out/hydroflow/scheduled,,,,,93508738.0,ns,1
fan_out/hydroflow/scheduled,,,,,95967252.0,ns,1
fan_out/hydroflow/scheduled,,,,,92427132.0,ns,1
fan_out/hydroflow/scheduled,,,,,106300811.0,ns,1
fan_out/hydroflow/scheduled,,,,,96224354.0,ns,1
fan_out/hydroflow/scheduled,,,,,96725856.0,ns,1
fan_out/hydroflow/scheduled,,,,,100803280.0,ns,1
fan_out/hydroflow/scheduled,,,,,94343743.0,ns,1
fan_out/hydroflow/scheduled,,,,,96170054.0,ns,1
fan_out/hydroflow/scheduled,,,,,94839845.0,ns,1
fan_out/hydroflow/scheduled,,,,,95087447.0,ns,1
fan_out/hydroflow/scheduled,,,,,101387084.0,ns,1
fan_out/hydroflow/scheduled,,,,,95396049.0,ns,1
fan_out/hydroflow/scheduled,,,,,93304236.0,ns,1
fan_out/hydroflow/scheduled,,,,,90631322.0,ns,1
fan_out/hydroflow/scheduled,,,,,90942923.0,ns,1
fan_out/hydroflow/scheduled,,,,,97617362.0,ns,1
fan_out/hydroflow/scheduled,,,,,90189519.0,ns,1
fan_out/hydroflow/scheduled,,,,,89476615.0,ns,1
fan_out/hydroflow/scheduled,,,,,94618544.0,ns,1
fan_out/hydroflow/scheduled,,,,,96312354.0,ns,1
fan_out/hydroflow/scheduled,,,,,94344943.0,ns,1
fan_out/hydroflow/scheduled,,,,,105135905.0,ns,1
fan_out/hydroflow/scheduled,,,,,102294288.0,ns,1
fan_out/hydroflow/scheduled,,,,,103423896.0,ns,1
fan_out/hydroflow/scheduled,,,,,104665502.0,ns,1
fan_out/hydroflow/scheduled,,,,,89650916.0,ns,1
fan_out/hydroflow/scheduled,,,,,96600255.0,ns,1
fan_out/hydroflow/scheduled,,,,,95554850.0,ns,1
