group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/teer,,,,,70348048.0,ns,1
fan_out/hydroflow/teer,,,,,70648552.0,ns,1
fan_out/hydroflow/teer,,,,,70268047.0,ns,1
fan_out/hydroflow/teer,,,,,70516250.0,ns,1
fan_out/hydroflow/teer,,,,,71380861.0,ns,1
fan_out/hydroflow/teer,,,,,70475050.0,ns,1
fan_out/hydroflow/teer,,,,,70464249.0,ns,1
fan_out/hydroflow/teer,,,,,70320147.0,ns,1
fan_out/hydroflow/teer,,,,,69895542.0,ns,1
fan_out/hydroflow/teer,,,,,70269446.0,ns,1
fan_out/hydroflow/teer,,,,,69695139.0,ns,1
fan_out/hydroflow/teer,,,,,70229647.0,ns,1
fan_out/hydroflow/teer,,,,,70112244.0,ns,1
fan_out/hydroflow/teer,,,,,69358034.0,ns,1
fan_out/hydroflow/teer,,,,,69639439.0,ns,1
fan_out/hydroflow/teer,,,,,69683438.0,ns,1
fan_out/hydroflow/teer,,,,,70023244.0,ns,1
fan_out/hydroflow/teer,,,,,69500736.0,ns,1
fan_out/hydroflow/teer,,,,,69885941.0,ns,1
fan_out/hydroflow/teer,,,,,69973143.0,ns,1
fan_out/hydroflow/teer,,,,,69757240.0,ns,1
fan_out/hydroflow/teer,,,,,69956242.0,ns,1
fan_out/hydroflow/teer,,,,,70168846.0,ns,1
fan_out/hydroflow/teer,,,,,70348247.0,ns,1
fan_out/hydroflow/teer,,,,,69923542.0,ns,1
fan_out/hydroflow/teer,,,,,70221046.0,ns,1
fan_out/hydroflow/teer,,,,,70378748.0,ns,1
fan_out/hydroflow/teer,,,,,69965243.0,ns,1
fan_out/hydroflow/teer,,,,,70369748.0,ns,1
fan_out/hydroflow/teer,,,,,70026243.0,ns,1
fan_out/hydroflow/teer,,,,,70189046.0,ns,1
fan_out/hydroflow/teer,,,,,70215146.0,ns,1
fan_out/hydroflow/teer,,,,,70041444.0,ns,1
fan_out/hydroflow/teer,,,,,70705952.0,ns,1
fan_out/hydroflow/teer,,,,,69922242.0,ns,1
fan_out/hydroflow/teer,,,,,70160345.0,ns,1
fan_out/hydroflow/teer,,,,,70347448.0,ns,1
fan_out/hydroflow/teer,,,,,70149045.0,ns,1
fan_out/hydroflow/teer,,,,,70003343.0,ns,1
fan_out/hydroflow/teer,,,,,69919342.0,ns,1
fan_out/hydroflow/teer,,,,,70302547.0,ns,1
fan_out/hydroflow/teer,,,,,70320747.0,ns,1
fan_out/hydroflow/teer,,,,,69817241.0,ns,1
fan_out/hydroflow/teer,,,,,70380248.0,ns,1
fan_out/hydroflow/teer,,,,,69802840.0,ns,1
fan_out/hydroflow/teer,,,,,70167846.0,ns,1
fan_out/hydroflow/teer,,,,,69880341.0,ns,1
fan_out/hydroflow/teer,,,,,70135945.0,ns,1
fan_out/hydroflow/teer,,,,,70037844.0,ns,1
fan_out/hydroflow/teer,,,,,70241146.0,ns,1
fan_out/hydroflow/teer,,,,,70123345.0,ns,1
fan_out/hydroflow/teer,,,,,69896541.0,ns,1
fan_out/hydroflow/teer,,,,,70096744.0,ns,1
fan_out/hydroflow/teer,,,,,70008643.0,ns,1
fan_out/hydroflow/teer,,,,,70270846.0,ns,1
fan_out/hydroflow/teer,,,,,70305147.0,ns,1
fan_out/hydroflow/teer,,,,,69883642.0,ns,1
fan_out/hydroflow/teer,,,,,69690539.0,ns,1
fan_out/hydroflow/teer,,,,,69780740.0,ns,1
fan_out/hydroflow/teer,,,,,69461436.0,ns,1
fan_out/hydroflow/teer,,,,,69521336.0,ns,1
fan_out/hydroflow/teer,,,,,69858141.0,ns,1
fan_out/hydroflow/teer,,,,,70052244.0,ns,1
fan_out/hydroflow/teer,,,,,70296747.0,ns,1
fan_out/hydroflow/teer,,,,,70544650.0,ns,1
fan_out/hydroflow/teer,,,,,70269347.0,ns,1
fan_out/hydroflow/teer,,,,,70291647.0,ns,1
fan_out/hydroflow/teer,,,,,71136258.0,ns,1
fan_out/hydroflow/teer,,,,,70514550.0,ns,1
fan_out/hydroflow/teer,,,,,70167046.0,ns,1
fan_out/hydroflow/teer,,,,,70235746.0,ns,1
fan_out/hydroflow/teer,,,,,69916142.0,ns,1
fan_out/hydroflow/teer,,,,,70258946.0,ns,1
fan_out/hydroflow/teer,,,,,70241046.0,ns,1
fan_out/hydroflow/teer,,,,,69850441.0,ns,1
fan_out/hydroflow/teer,,,,,70396248.0,ns,1
fan_out/hydroflow/teer,,,,,69878141.0,ns,1
fan_out/hydroflow/teer,,,,,70320648.0,ns,1
fan_out/hydroflow/teer,,,,,70278846.0,ns,1
fan_out/hydroflow/teer,,,,,70676853.0,ns,1
fan_out/hydroflow/teer,,,,,71122658.0,ns,1
fan_out/hydroflow/teer,,,,,70903455.0,ns,1
fan_out/hydroflow/teer,,,,,70755953.0,ns,1
fan_out/hydroflow/teer,,,,,70268047.0,ns,1
