group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,52476974.0,ns,5
fork_join/hydroflow,,,,,52691171.0,ns,5
fork_join/hydroflow,,,,,52688271.0,ns,5
fork_join/hydroflow,,,,,52450774.0,ns,5
fork_join/hydroflow,,,,,52063280.0,ns,5
fork_join/hydroflow,,,,,52386275.0,ns,5
fork_join/hydroflow,,,,,52228677.0,ns,5
fork_join/hydroflow,,,,,52318376.0,ns,5
fork_join/hydroflow,,,,,52842969.0,ns,5
fork_join/hydroflow,,,,,52819469.0,ns,5
fork_join/hydroflow,,,,,52301476.0,ns,5
fork_join/hydroflow,,,,,52656672.0,ns,5
fork_join/hydroflow,,,,,52094079.0,ns,5
fork_join/hydroflow,,,,,52629372.0,ns,5
fork_join/hydroflow,,,,,51916081.0,ns,5
fork_join/hydroflow,,,,,52321776.0,ns,5
fork_join/hydroflow,,,,,52234777.0,ns,5
fork_join/hydroflow,,,,,52258277.0,ns,5
fork_join/hydroflow,,,,,52303277.0,ns,5
fork_join/hydroflow,,,,,52464274.0,ns,5
fork_join/hydroflow,,,,,52357175.0,ns,5
fork_join/hydroflow,,,,,52279377.0,ns,5
fork_join/hydroflow,,,,,52270976.0,ns,5
fork_join/hydroflow,,,,,51664186.0,ns,5
fork_join/hydroflow,,,,,51965380.0,ns,5
fork_join/hydroflow,,,,,52555573.0,ns,5
fork_join/hydroflow,,,,,52322776.0,ns,5
fork_join/hydroflow,,,,,52270777.0,ns,5
fork_join/hydroflow,,,,,52228077.0,ns,5
fork_join/hydroflow,,,,,51774284.0,ns,5
fork_join/hydroflow,,,,,51776983.0,ns,5
fork_join/hydroflow,,,,,51316690.0,ns,5
fork_join/hydroflow,,,,,51809083.0,ns,5
fork_join/hydroflow,,,,,51668985.0,ns,5
fork_join/hydroflow,,,,,51677985.0,ns,5
fork_join/hydroflow,,,,,51718485.0,ns,5
fork_join/hydroflow,,,,,51677785.0,ns,5
fork_join/hydroflow,,,,,51969780.0,ns,5
fork_join/hydroflow,,,,,51312390.0,ns,5
fork_join/hydroflow,,,,,51355790.0,ns,5
fork_join/hydroflow,,,,,52160278.0,ns,5
fork_join/hydroflow,,,,,51489488.0,ns,5
fork_join/hydroflow,,,,,51642685.0,ns,5
fork_join/hydroflow,,,,,51405489.0,ns,5
fork_join/hydroflow,,,,,52152278.0,ns,5
fork_join/hydroflow,,,,,51716784.0,ns,5
fork_join/hydroflow,,,,,51242791.0,ns,5
fork_join/hydroflow,,,,,51383589.0,ns,5
fork_join/hydroflow,,,,,51826583.0,ns,5
fork_join/hydroflow,,,,,52466774.0,ns,5
fork_join/hydroflow,,,,,52695871.0,ns,5
fork_join/hydroflow,,,,,52921968.0,ns,5
fork_join/hydroflow,,,,,52033780.0,ns,5
fork_join/hydroflow,,,,,52402375.0,ns,5
fork_join/hydroflow,,,,,52532573.0,ns,5
fork_join/hydroflow,,,,,52041480.0,ns,5
fork_join/hydroflow,,,,,51919281.0,ns,5
fork_join/hydroflow,,,,,52459174.0,ns,5
fork_join/hydroflow,,,,,52246477.0,ns,5
fork_join/hydroflow,,,,,52573673.0,ns,5
fork_join/hydroflow,,,,,52491173.0,ns,5
fork_join/hydroflow,,,,,52753671.0,ns,5
fork_join/hydroflow,,,,,52445075.0,ns,5
fork_join/hydroflow,,,,,52222277.0,ns,5
fork_join/hydroflow,,,,,52178978.0,ns,5
fork_join/hydroflow,,,,,52204878.0,ns,5
fork_join/hydroflow,,,,,52404175.0,ns,5
fork_join/hydroflow,,,,,52157178.0,ns,5
fork_join/hydroflow,,,,,52214177.0,ns,5
fork_join/hydroflow,,,,,51849983.0,ns,5
fork_join/hydroflow,,,,,52296976.0,ns,5
fork_join/hydroflow,,,,,52058980.0,ns,5
fork_join/hydroflow,,,,,52820469.0,ns,5
fork_join/hydroflow,,,,,52204078.0,ns,5
fork_join/hydroflow,,,,,52017080.0,ns,5
fork_join/hydroflow,,,,,52174578.0,ns,5
fork_join/hydroflow,,,,,52256077.0,ns,5
fork_join/hydroflow,,,,,52488874.0,ns,5
fork_join/hydroflow,,,,,52555372.0,ns,5
fork_join/hydroflow,,,,,52231678.0,ns,5
fork_join/hydroflow,,,,,52199377.0,ns,5
fork_join/hydroflow,,,,,52192078.0,ns,5
fork_join/hydroflow,,,,,52061480.0,ns,5
fork_join/hydroflow,,,,,52711670.0,ns,5
fork_join/hydroflow,,,,,52980067.0,ns,5
fork_join/hydroflow,,,,,52369476.0,ns,5
fork_join/hydroflow,,,,,52216977.0,ns,5
fork_join/hydroflow,,,,,52763670.0,ns,5
fork_join/hydroflow,,,,,52822169.0,ns,5
fork_join/hydroflow,,,,,52278377.0,ns,5
fork_join/hydroflow,,,,,52564672.0,ns,5
fork_join/hydroflow,,,,,52116279.0,ns,5
fork_join/hydroflow,,,,,53019266.0,ns,5
fork_join/hydroflow,,,,,52680771.0,ns,5
fork_join/hydroflow,,,,,52281277.0,ns,5
fork_join/hydroflow,,,,,52447074.0,ns,5
fork_join/hydroflow,,,,,52761870.0,ns,5
fork_join/hydroflow,,,,,52224678.0,ns,5
fork_join/hydroflow,,,,,52102279.0,ns,5
fork_join/hydroflow,,,,,52712270.0,ns,5
