group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,58226569.0,ns,6
fork_join/hydroflow,,,,,57867364.0,ns,6
fork_join/hydroflow,,,,,57930265.0,ns,6
fork_join/hydroflow,,,,,57644661.0,ns,6
fork_join/hydroflow,,,,,57614861.0,ns,6
fork_join/hydroflow,,,,,57729063.0,ns,6
fork_join/hydroflow,,,,,57635761.0,ns,6
fork_join/hydroflow,,,,,57667161.0,ns,6
fork_join/hydroflow,,,,,57848064.0,ns,6
fork_join/hydroflow,,,,,58058167.0,ns,6
fork_join/hydroflow,,,,,57793163.0,ns,6
fork_join/hydroflow,,,,,57647962.0,ns,6
fork_join/hydroflow,,,,,57674961.0,ns,6
fork_join/hydroflow,,,,,57718363.0,ns,6
fork_join/hydroflow,,,,,57832963.0,ns,6
fork_join/hydroflow,,,,,57610261.0,ns,6
fork_join/hydroflow,,,,,57617861.0,ns,6
fork_join/hydroflow,,,,,57795564.0,ns,6
fork_join/hydroflow,,,,,57969165.0,ns,6
fork_join/hydroflow,,,,,57592161.0,ns,6
fork_join/hydroflow,,,,,57690162.0,ns,6
fork_join/hydroflow,,,,,57897364.0,ns,6
fork_join/hydroflow,,,,,57751663.0,ns,6
fork_join/hydroflow,,,,,57429858.0,ns,6
fork_join/hydroflow,,,,,57460559.0,ns,6
fork_join/hydroflow,,,,,57777463.0,ns,6
fork_join/hydroflow,,,,,57495760.0,ns,6
fork_join/hydroflow,,,,,57500559.0,ns,6
fork_join/hydroflow,,,,,57610361.0,ns,6
fork_join/hydroflow,,,,,57655861.0,ns,6
fork_join/hydroflow,,,,,57564261.0,ns,6
fork_join/hydroflow,,,,,57519059.0,ns,6
fork_join/hydroflow,,,,,57827864.0,ns,6
fork_join/hydroflow,,,,,57485559.0,ns,6
fork_join/hydroflow,,,,,57578161.0,ns,6
fork_join/hydroflow,,,,,57841164.0,ns,6
fork_join/hydroflow,,,,,57925765.0,ns,6
fork_join/hydroflow,,,,,57339457.0,ns,6
fork_join/hydroflow,,,,,57632061.0,ns,6
fork_join/hydroflow,,,,,57461159.0,ns,6
fork_join/hydroflow,,,,,57528060.0,ns,6
fork_join/hydroflow,,,,,57561942.0,ns,6
fork_join/hydroflow,,,,,58024762.0,ns,6
fork_join/hydroflow,,,,,57488753.0,ns,6
fork_join/hydroflow,,,,,57630256.0,ns,6
fork_join/hydroflow,,,,,57462753.0,ns,6
fork_join/hydroflow,,,,,57350051.0,ns,6
fork_join/hydroflow,,,,,57568655.0,ns,6
fork_join/hydroflow,,,,,57383052.0,ns,6
fork_join/hydroflow,,,,,57687356.0,ns,6
fork_join/hydroflow,,,,,57669056.0,ns,6
fork_join/hydroflow,,,,,57870859.0,ns,6
fork_join/hydroflow,,,,,57763558.0,ns,6
fork_join/hydroflow,,,,,57548454.0,ns,6
fork_join/hydroflow,,,,,57331651.0,ns,6
fork_join/hydroflow,,,,,57712357.0,ns,6
fork_join/hydroflow,,,,,57708757.0,ns,6
fork_join/hydroflow,,,,,57433252.0,ns,6
fork_join/hydroflow,,,,,57807059.0,ns,6
fork_join/hydroflow,,,,,57639455.0,ns,6
fork_join/hydroflow,,,,,57505954.0,ns,6
fork_join/hydroflow,,,,,57552054.0,ns,6
fork_join/hydroflow,,,,,57449053.0,ns,6
fork_join/hydroflow,,,,,57338252.0,ns,6
fork_join/hydroflow,,,,,57530654.0,ns,6
fork_join/hydroflow,,,,,57453152.0,ns,6
fork_join/hydroflow,,,,,57599956.0,ns,6
fork_join/hydroflow,,,,,57401052.0,ns,6
fork_join/hydroflow,,,,,57801458.0,ns,6
fork_join/hydroflow,,,,,57940260.0,ns,6
fork_join/hydroflow,,,,,58221664.0,ns,6
fork_join/hydroflow,,,,,57545755.0,ns,6
fork_join/hydroflow,,,,,57633555.0,ns,6
fork_join/hydroflow,,,,,57497354.0,ns,6
fork_join/hydroflow,,,,,57567054.0,ns,6
fork_join/hydroflow,,,,,57388452.0,ns,6
fork_join/hydroflow,,,,,57454653.0,ns,6
fork_join/hydroflow,,,,,57478454.0,ns,6
fork_join/hydroflow,,,,,57620655.0,ns,6
fork_join/hydroflow,,,,,57958260.0,ns,6
fork_join/hydroflow,,,,,57948361.0,ns,6
fork_join/hydroflow,,,,,57781757.0,ns,6
fork_join/hydroflow,,,,,57504554.0,ns,6
fork_join/hydroflow,,,,,57286851.0,ns,6
fork_join/hydroflow,,,,,57724157.0,ns,6
fork_join/hydroflow,,,,,57464253.0,ns,6
fork_join/hydroflow,,,,,57553154.0,ns,6
fork_join/hydroflow,,,,,57536254.0,ns,6
fork_join/hydroflow,,,,,57589555.0,ns,6
fork_join/hydroflow,,,,,57872859.0,ns,6
fork_join/hydroflow,,,,,57763558.0,ns,6
fork_join/hydroflow,,,,,57687056.0,ns,6
fork_join/hydroflow,,,,,57424053.0,ns,6
fork_join/hydroflow,,,,,58224564.0,ns,6
fork_join/hydroflow,,,,,57925560.0,ns,6
fork_join/hydroflow,,,,,57981161.0,ns,6
fork_join/hydroflow,,,,,57581455.0,ns,6
fork_join/hydroflow,,,,,58092362.0,ns,6
fork_join/hydroflow,,,,,57631756.0,ns,6
fork_join/hydroflow,,,,,57336451.0,ns,6
