group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow_builder,,,,,63515981.0,ns,2
fork_join/hydroflow_builder,,,,,63508082.0,ns,2
fork_join/hydroflow_builder,,,,,63478381.0,ns,2
fork_join/hydroflow_builder,,,,,63631582.0,ns,2
fork_join/hydroflow_builder,,,,,63513581.0,ns,2
fork_join/hydroflow_builder,,,,,63488682.0,ns,2
fork_join/hydroflow_builder,,,,,63551381.0,ns,2
fork_join/hydroflow_builder,,,,,63630183.0,ns,2
fork_join/hydroflow_builder,,,,,63592782.0,ns,2
fork_join/hydroflow_builder,,,,,63420880.0,ns,2
fork_join/hydroflow_builder,,,,,63520782.0,ns,2
fork_join/hydroflow_builder,,,,,63563781.0,ns,2
fork_join/hydroflow_builder,,,,,63583982.0,ns,2
fork_join/hydroflow_builder,,,,,63666983.0,ns,2
fork_join/hydroflow_builder,,,,,63921185.0,ns,2
fork_join/hydroflow_builder,,,,,63653084.0,ns,2
fork_join/hydroflow_builder,,,,,63731684.0,ns,2
fork_join/hydroflow_builder,,,,,63683284.0,ns,2
fork_join/hydroflow_builder,,,,,63696284.0,ns,2
fork_join/hydroflow_builder,,,,,63478782.0,ns,2
fork_join/hydroflow_builder,,,,,63492883.0,ns,2
fork_join/hydroflow_builder,,,,,63590783.0,ns,2
fork_join/hydroflow_builder,,,,,63597183.0,ns,2
fork_join/hydroflow_builder,,,,,63534683.0,ns,2
fork_join/hydroflow_builder,,,,,63683084.0,ns,2
fork_join/hydroflow_builder,,,,,63752384.0,ns,2
fork_join/hydroflow_builder,,,,,63708584.0,ns,2
fork_join/hydroflow_builder,,,,,63784685.0,ns,2
fork_join/hydroflow_builder,,,,,63677884.0,ns,2
fork_join/hydroflow_builder,,,,,63577883.0,ns,2
fork_join/hydroflow_builder,,,,,63566383.0,ns,2
fork_join/hydroflow_builder,,,,,63635583.0,ns,2
fork_join/hydroflow_builder,,,,,63590183.0,ns,2
fork_join/hydroflow_builder,,,,,63594384.0,ns,2
fork_join/hydroflow_builder,,,,,63623883.0,ns,2
fork_join/hydroflow_builder,,,,,63542883.0,ns,2
fork_join/hydroflow_builder,,,,,63528582.0,ns,2
fork_join/hydroflow_builder,,,,,63590084.0,ns,2
fork_join/hydroflow_builder,,,,,63664383.0,ns,2
fork_join/hydroflow_builder,,,,,63555183.0,ns,2
fork_join/hydroflow_builder,,,,,63542783.0,ns,2
fork_join/hydroflow_builder,,,,,63427782.0,ns,2
fork_join/hydroflow_builder,,,,,63500383.0,ns,2
fork_join/hydroflow_builder,,,,,63424081.0,ns,2
fork_join/hydroflow_builder,,,,,63396482.0,ns,2
fork_join/hydroflow_builder,,,,,63359182.0,ns,2
fork_join/hydroflow_builder,,,,,63508082.0,ns,2
fork_join/hydroflow_builder,,,,,63460382.0,ns,2
fork_join/hydroflow_builder,,,,,63434782.0,ns,2
fork_join/hydroflow_builder,,,,,63408782.0,ns,2
fork_join/hydroflow_builder,,,,,63415382.0,ns,2
fork_join/hydroflow_builder,,,,,63439182.0,ns,2
fork_join/hydroflow_builder,,,,,63392682.0,ns,2
fork_join/hydroflow_builder,,,,,63394681.0,ns,2
fork_join/hydroflow_builder,,,,,63340482.0,ns,2
fork_join/hydroflow_builder,,,,,63668283.0,ns,2
fork_join/hydroflow_builder,,,,,63349482.0,ns,2
fork_join/hydroflow_builder,,,,,63304281.0,ns,2
fork_join/hydroflow_builder,,,,,63433282.0,ns,2
fork_join/hydroflow_builder,,,,,63446982.0,ns,2
fork_join/hydroflow_builder,,,,,63401682.0,ns,2
fork_join/hydroflow_builder,,,,,63403281.0,ns,2
fork_join/hydroflow_builder,,,,,63367382.0,ns,2
fork_join/hydroflow_builder,,,,,63351681.0,ns,2
fork_join/hydroflow_builder,,,,,63384682.0,ns,2
fork_join/hydroflow_builder,,,,,63600183.0,ns,2
fork_join/hydroflow_builder,,,,,63516383.0,ns,2
fork_join/hydroflow_builder,,,,,63351581.0,ns,2
fork_join/hydroflow_builder,,,,,63270681.0,ns,2
fork_join/hydroflow_builder,,,,,63354081.0,ns,2
fork_join/hydroflow_builder,,,,,63434882.0,ns,2
fork_join/hydroflow_builder,,,,,64032287.0,ns,2
fork_join/hydroflow_builder,,,,,63518782.0,ns,2
fork_join/hydroflow_builder,,,,,63417582.0,ns,2
fork_join/hydroflow_builder,,,,,63439782.0,ns,2
fork_join/hydroflow_builder,,,,,63499483.0,ns,2
fork_join/hydroflow_builder,,,,,63512882.0,ns,2
fork_join/hydroflow_builder,,,,,63562183.0,ns,2
fork_join/hydroflow_builder,,,,,63685684.0,ns,2
fork_join/hydroflow_builder,,,,,63492683.0,ns,2
fork_join/hydroflow_builder,,,,,63519282.0,ns,2
fork_join/hydroflow_builder,,,,,63603483.0,ns,2
fork_join/hydroflow_builder,,,,,63434582.0,ns,2
fork_join/hydroflow_builder,,,,,63479483.0,ns,2
fork_join/hydroflow_builder,,,,,63408582.0,ns,2
fork_join/hydroflow_builder,,,,,63369181.0,ns,2
fork_join/hydroflow_builder,,,,,63431682.0,ns,2
fork_join/hydroflow_builder,,,,,63648684.0,ns,2
fork_join/hydroflow_builder,,,,,63429882.0,ns,2
fork_join/hydroflow_builder,,,,,63392181.0,ns,2
fork_join/hydroflow_builder,,,,,63452882.0,ns,2
