group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow_builder,,,,,69197703.0,ns,2
fork_join/hydroflow_builder,,,,,69400299.0,ns,2
fork_join/hydroflow_builder,,,,,69414599.0,ns,2
fork_join/hydroflow_builder,,,,,69325501.0,ns,2
fork_join/hydroflow_builder,,,,,69324601.0,ns,2
fork_join/hydroflow_builder,,,,,69183603.0,ns,2
fork_join/hydroflow_builder,,,,,69066705.0,ns,2
fork_join/hydroflow_builder,,,,,69383200.0,ns,2
fork_join/hydroflow_builder,,,,,68968407.0,ns,2
fork_join/hydroflow_builder,,,,,69396599.0,ns,2
fork_join/hydroflow_builder,,,,,69275702.0,ns,2
fork_join/hydroflow_builder,,,,,69167303.0,ns,2
fork_join/hydroflow_builder,,,,,69113004.0,ns,2
fork_join/hydroflow_builder,,,,,68766408.0,ns,2
fork_join/hydroflow_builder,,,,,69188201.0,ns,2
fork_join/hydroflow_builder,,,,,69251900.0,ns,2
fork_join/hydroflow_builder,,,,,69562094.0,ns,2
fork_join/hydroflow_builder,,,,,69164702.0,ns,2
fork_join/hydroflow_builder,,,,,69131202.0,ns,2
fork_join/hydroflow_builder,,,,,69672892.0,ns,2
fork_join/hydroflow_builder,,,,,69316099.0,ns,2
fork_join/hydroflow_builder,,,,,69346599.0,ns,2
fork_join/hydroflow_builder,,,,,69370597.0,ns,2
fork_join/hydroflow_builder,,,,,69216101.0,ns,2
fork_join/hydroflow_builder,,,,,69484996.0,ns,2
fork_join/hydroflow_builder,,,,,69225000.0,ns,2
fork_join/hydroflow_builder,,,,,69093203.0,ns,2
fork_join/hydroflow_builder,,,,,69154701.0,ns,2
fork_join/hydroflow_builder,,,,,69197401.0,ns,2
fork_join/hydroflow_builder,,,,,69525095.0,ns,2
fork_join/hydroflow_builder,,,,,69394398.0,ns,2
fork_join/hydroflow_builder,,,,,68867806.0,ns,2
fork_join/hydroflow_builder,,,,,69132902.0,ns,2
fork_join/hydroflow_builder,,,,,69262600.0,ns,2
fork_join/hydroflow_builder,,,,,69438497.0,ns,2
fork_join/hydroflow_builder,,,,,69484496.0,ns,2
fork_join/hydroflow_builder,,,,,69093402.0,ns,2
fork_join/hydroflow_builder,,,,,69191701.0,ns,2
fork_join/hydroflow_builder,,,,,69407797.0,ns,2
fork_join/hydroflow_builder,,,,,69000805.0,ns,2
fork_join/hydroflow_builder,,,,,69260499.0,ns,2
fork_join/hydroflow_builder,,,,,69336899.0,ns,2
fork_join/hydroflow_builder,,,,,69341998.0,ns,2
fork_join/hydroflow_builder,,,,,69155002.0,ns,2
fork_join/hydroflow_builder,,,,,69185801.0,ns,2
fork_join/hydroflow_builder,,,,,69268899.0,ns,2
fork_join/hydroflow_builder,,,,,69117903.0,ns,2
fork_join/hydroflow_builder,,,,,69357598.0,ns,2
fork_join/hydroflow_builder,,,,,69379597.0,ns,2
fork_join/hydroflow_builder,,,,,69248100.0,ns,2
fork_join/hydroflow_builder,,,,,69310199.0,ns,2
fork_join/hydroflow_builder,,,,,69561995.0,ns,2
fork_join/hydroflow_builder,,,,,69055403.0,ns,2
fork_join/hydroflow_builder,,,,,69512195.0,ns,2
fork_join/hydroflow_builder,,,,,69141602.0,ns,2
fork_join/hydroflow_builder,,,,,69649993.0,ns,2
fork_join/hydroflow_builder,,,,,69406498.0,ns,2
fork_join/hydroflow_builder,,,,,69366697.0,ns,2
fork_join/hydroflow_builder,,,,,68846307.0,ns,2
fork_join/hydroflow_builder,,,,,69113903.0,ns,2
fork_join/hydroflow_builder,,,,,69418297.0,ns,2
fork_join/hydroflow_builder,,,,,69156701.0,ns,2
fork_join/hydroflow_builder,,,,,69425297.0,ns,2
fork_join/hydroflow_builder,,,,,69233100.0,ns,2
fork_join/hydroflow_builder,,,,,68991205.0,ns,2
fork_join/hydroflow_builder,,,,,69284699.0,ns,2
fork_join/hydroflow_builder,,,,,69289799.0,ns,2
fork_join/hydroflow_builder,,,,,69464297.0,ns,2
fork_join/hydroflow_builder,,,,,69167701.0,ns,2
fork_join/hydroflow_builder,,,,,69305999.0,ns,2
fork_join/hydroflow_builder,,,,,69432597.0,ns,2
fork_join/hydroflow_builder,,,,,69459296.0,ns,2
fork_join/hydroflow_builder,,,,,69613194.0,ns,2
fork_join/hydroflow_builder,,,,,69429796.0,ns,2
fork_join/hydroflow_builder,,,,,69615194.0,ns,2
fork_join/hydroflow_builder,,,,,69039904.0,ns,2
fork_join/hydroflow_builder,,,,,69171801.0,ns,2
fork_join/hydroflow_builder,,,,,69205701.0,ns,2
fork_join/hydroflow_builder,,,,,69300199.0,ns,2
fork_join/hydroflow_builder,,,,,69035103.0,ns,2
fork_join/hydroflow_builder,,,,,69154502.0,ns,2
fork_join/hydroflow_builder,,,,,69228900.0,ns,2
fork_join/hydroflow_builder,,,,,69494696.0,ns,2
fork_join/hydroflow_builder,,,,,69793990.0,ns,2
fork_join/hydroflow_builder,,,,,69714692.0,ns,2
fork_join/hydroflow_builder,,,,,69179602.0,ns,2
fork_join/hydroflow_builder,,,,,69240000.0,ns,2
fork_join/hydroflow_builder,,,,,69247100.0,ns,2
fork_join/hydroflow_builder,,,,,69450096.0,ns,2
fork_join/hydroflow_builder,,,,,69244500.0,ns,2
fork_join/hydroflow_builder,,,,,69138902.0,ns,2
fork_join/hydroflow_builder,,,,,69203101.0,ns,2
fork_join/hydroflow_builder,,,,,69099202.0,ns,2
fork_join/hydroflow_builder,,,,,69679093.0,ns,2
fork_join/hydroflow_builder,,,,,69160201.0,ns,2
fork_join/hydroflow_builder,,,,,69293599.0,ns,2
fork_join/hydroflow_builder,,,,,69262100.0,ns,2
fork_join/hydroflow_builder,,,,,69343599.0,ns,2
fork_join/hydroflow_builder,,,,,69383698.0,ns,2
fork_join/hydroflow_builder,,,,,69879389.0,ns,2
