group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow,,,,,98132307.0,ns,2
identity/hydroflow,,,,,97607308.0,ns,2
identity/hydroflow,,,,,98580207.0,ns,2
identity/hydroflow,,,,,98613207.0,ns,2
identity/hydroflow,,,,,97917607.0,ns,2
identity/hydroflow,,,,,98285207.0,ns,2
identity/hydroflow,,,,,98563808.0,ns,2
identity/hydroflow,,,,,98558007.0,ns,2
identity/hydroflow,,,,,97900507.0,ns,2
identity/hydroflow,,,,,100556807.0,ns,2
identity/hydroflow,,,,,99835808.0,ns,2
identity/hydroflow,,,,,98589107.0,ns,2
identity/hydroflow,,,,,98173007.0,ns,2
identity/hydroflow,,,,,98041207.0,ns,2
identity/hydroflow,,,,,99097507.0,ns,2
identity/hydroflow,,,,,98047708.0,ns,2
identity/hydroflow,,,,,98217607.0,ns,2
identity/hydroflow,,,,,97554807.0,ns,2
identity/hydroflow,,,,,98228007.0,ns,2
identity/hydroflow,,,,,97556207.0,ns,2
identity/hydroflow,,,,,97865208.0,ns,2
identity/hydroflow,,,,,97715407.0,ns,2
identity/hydroflow,,,,,97502707.0,ns,2
identity/hydroflow,,,,,97592307.0,ns,2
identity/hydroflow,,,,,97764907.0,ns,2
identity/hydroflow,,,,,99459607.0,ns,2
identity/hydroflow,,,,,98569608.0,ns,2
identity/hydroflow,,,,,97772207.0,ns,2
identity/hydroflow,,,,,98270407.0,ns,2
identity/hydroflow,,,,,100428007.0,ns,2
identity/hydroflow,,,,,102377708.0,ns,2
identity/hydroflow,,,,,98570607.0,ns,2
identity/hydroflow,,,,,101863807.0,ns,2
identity/hydroflow,,,,,101399808.0,ns,2
identity/hydroflow,,,,,104766808.0,ns,2
identity/hydroflow,,,,,100858207.0,ns,2
identity/hydroflow,,,,,100201907.0,ns,2
identity/hydroflow,,,,,99717108.0,ns,2
identity/hydroflow,,,,,100324707.0,ns,2
identity/hydroflow,,,,,100760907.0,ns,2
identity/hydroflow,,,,,100903508.0,ns,2
identity/hydroflow,,,,,100057607.0,ns,2
identity/hydroflow,,,,,99689707.0,ns,2
identity/hydroflow,,,,,100298108.0,ns,2
identity/hydroflow,,,,,99546707.0,ns,2
identity/hydroflow,,,,,100738623.0,ns,2
identity/hydroflow,,,,,100412068.0,ns,2
identity/hydroflow,,,,,99776367.0,ns,2
identity/hydroflow,,,,,99277767.0,ns,2
identity/hydroflow,,,,,99000367.0,ns,2
identity/hydroflow,,,,,98783766.0,ns,2
identity/hydroflow,,,,,99014767.0,ns,2
identity/hydroflow,,,,,99447967.0,ns,2
identity/hydroflow,,,,,99832868.0,ns,2
identity/hydroflow,,,,,98765866.0,ns,2
identity/hydroflow,,,,,98340067.0,ns,2
identity/hydroflow,,,,,98214366.0,ns,2
identity/hydroflow,,,,,98102366.0,ns,2
identity/hydroflow,,,,,97673266.0,ns,2
identity/hydroflow,,,,,97684966.0,ns,2
identity/hydroflow,,,,,97922166.0,ns,2
identity/hydroflow,,,,,98526867.0,ns,2
identity/hydroflow,,,,,97640065.0,ns,2
identity/hydroflow,,,,,97995967.0,ns,2
identity/hydroflow,,,,,98103866.0,ns,2
identity/hydroflow,,,,,98398627.0,ns,2
identity/hydroflow,,,,,98743961.0,ns,2
identity/hydroflow,,,,,98192560.0,ns,2
identity/hydroflow,,,,,100825960.0,ns,2
identity/hydroflow,,,,,99578660.0,ns,2
identity/hydroflow,,,,,100163460.0,ns,2
identity/hydroflow,,,,,99130360.0,ns,2
identity/hydroflow,,,,,100828859.0,ns,2
identity/hydroflow,,,,,99422860.0,ns,2
identity/hydroflow,,,,,100650160.0,ns,2
identity/hydroflow,,,,,98139961.0,ns,2
identity/hydroflow,,,,,99049260.0,ns,2
identity/hydroflow,,,,,98160861.0,ns,2
identity/hydroflow,,,,,99047560.0,ns,2
identity/hydroflow,,,,,98503560.0,ns,2
identity/hydroflow,,,,,98463261.0,ns,2
identity/hydroflow,,,,,98173760.0,ns,2
identity/hydroflow,,,,,98088261.0,ns,2
identity/hydroflow,,,,,97729061.0,ns,2
identity/hydroflow,,,,,97845161.0,ns,2
identity/hydroflow,,,,,99512060.0,ns,2
identity/hydroflow,,,,,100098259.0,ns,2
identity/hydroflow,,,,,99340161.0,ns,2
identity/hydroflow,,,,,98793460.0,ns,2
identity/hydroflow,,,,,99459860.0,ns,2
identity/hydroflow,,,,,98835460.0,ns,2
identity/hydroflow,,,,,99016061.0,ns,2
identity/hydroflow,,,,,99902160.0,ns,2
identity/hydroflow,,,,,101772259.0,ns,2
identity/hydroflow,,,,,99185360.0,ns,2
identity/hydroflow,,,,,99340760.0,ns,2
identity/hydroflow,,,,,99059460.0,ns,2
identity/hydroflow,,,,,99717060.0,ns,2
identity/hydroflow,,,,,97828561.0,ns,2
identity/hydroflow,,,,,98183361.0,ns,2
