group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reachability/hydroflow,,,,,52859431.0,ns,18
reachability/hydroflow,,,,,52867931.0,ns,18
reachability/hydroflow,,,,,52853631.0,ns,18
reachability/hydroflow,,,,,52896831.0,ns,18
reachability/hydroflow,,,,,52936532.0,ns,18
reachability/hydroflow,,,,,52827031.0,ns,18
reachability/hydroflow,,,,,52847032.0,ns,18
reachability/hydroflow,,,,,52867231.0,ns,18
reachability/hydroflow,,,,,52914132.0,ns,18
reachability/hydroflow,,,,,52948432.0,ns,18
reachability/hydroflow,,,,,52892631.0,ns,18
reachability/hydroflow,,,,,52886032.0,ns,18
reachability/hydroflow,,,,,52913332.0,ns,18
reachability/hydroflow,,,,,52831431.0,ns,18
reachability/hydroflow,,,,,52882032.0,ns,18
reachability/hydroflow,,,,,52841031.0,ns,18
reachability/hydroflow,,,,,52885732.0,ns,18
reachability/hydroflow,,,,,52808531.0,ns,18
reachability/hydroflow,,,,,52802631.0,ns,18
reachability/hydroflow,,,,,52887032.0,ns,18
reachability/hydroflow,,,,,52867431.0,ns,18
reachability/hydroflow,,,,,52810432.0,ns,18
reachability/hydroflow,,,,,52917331.0,ns,18
reachability/hydroflow,,,,,52814432.0,ns,18
reachability/hydroflow,,,,,52860331.0,ns,18
reachability/hydroflow,,,,,52816931.0,ns,18
reachability/hydroflow,,,,,52817632.0,ns,18
reachability/hydroflow,,,,,52875631.0,ns,18
reachability/hydroflow,,,,,52889232.0,ns,18
reachability/hydroflow,,,,,52871831.0,ns,18
reachability/hydroflow,,,,,52873932.0,ns,18
reachability/hydroflow,,,,,52796531.0,ns,18
reachability/hydroflow,,,,,53032832.0,ns,18
reachability/hydroflow,,,,,52892632.0,ns,18
reachability/hydroflow,,,,,52863332.0,ns,18
reachability/hydroflow,,,,,52825831.0,ns,18
reachability/hydroflow,,,,,52930832.0,ns,18
reachability/hydroflow,,,,,52902731.0,ns,18
reachability/hydroflow,,,,,52826332.0,ns,18
reachability/hydroflow,,,,,52921131.0,ns,18
reachability/hydroflow,,,,,52857732.0,ns,18
reachability/hydroflow,,,,,52849431.0,ns,18
reachability/hydroflow,,,,,52853932.0,ns,18
reachability/hydroflow,,,,,52869631.0,ns,18
reachability/hydroflow,,,,,52887432.0,ns,18
reachability/hydroflow,,,,,52868731.0,ns,18
reachability/hydroflow,,,,,52918432.0,ns,18
reachability/hydroflow,,,,,52917732.0,ns,18
reachability/hydroflow,,,,,52938732.0,ns,18
reachability/hydroflow,,,,,52895031.0,ns,18
reachability/hydroflow,,,,,52883932.0,ns,18
reachability/hydroflow,,,,,52870632.0,ns,18
reachability/hydroflow,,,,,52894231.0,ns,18
reachability/hydroflow,,,,,52821932.0,ns,18
reachability/hydroflow,,,,,52900431.0,ns,18
reachability/hydroflow,,,,,52908332.0,ns,18
reachability/hydroflow,,,,,53026132.0,ns,18
reachability/hydroflow,,,,,52926132.0,ns,18
reachability/hydroflow,,,,,52804131.0,ns,18
reachability/hydroflow,,,,,52877932.0,ns,18
reachability/hydroflow,,,,,52927932.0,ns,18
reachability/hydroflow,,,,,52840231.0,ns,18
reachability/hydroflow,,,,,52829931.0,ns,18
reachability/hydroflow,,,,,52900632.0,ns,18
reachability/hydroflow,,,,,52918232.0,ns,18
reachability/hydroflow,,,,,52835831.0,ns,18
reachability/hydroflow,,,,,52918232.0,ns,18
reachability/hydroflow,,,,,52877531.0,ns,18
reachability/hydroflow,,,,,52817932.0,ns,18
reachability/hydroflow,,,,,52923431.0,ns,18
reachability/hydroflow,,,,,52868032.0,ns,18
reachability/hydroflow,,,,,52845531.0,ns,18
reachability/hydroflow,,,,,52899632.0,ns,18
reachability/hydroflow,,,,,52842431.0,ns,18
reachability/hydroflow,,,,,52871132.0,ns,18
reachability/hydroflow,,,,,52848631.0,ns,18
reachability/hydroflow,,,,,52828132.0,ns,18
reachability/hydroflow,,,,,52865131.0,ns,18
reachability/hydroflow,,,,,52884932.0,ns,18
reachability/hydroflow,,,,,52879031.0,ns,18
reachability/hydroflow,,,,,52893232.0,ns,18
reachability/hydroflow,,,,,52826831.0,ns,18
reachability/hydroflow,,,,,52815132.0,ns,18
reachability/hydroflow,,,,,52866231.0,ns,18
reachability/hydroflow,,,,,52863232.0,ns,18
reachability/hydroflow,,,,,52874431.0,ns,18
reachability/hydroflow,,,,,52860032.0,ns,18
reachability/hydroflow,,,,,52860631.0,ns,18
reachability/hydroflow,,,,,52883832.0,ns,18
reachability/hydroflow,,,,,52885831.0,ns,18
reachability/hydroflow,,,,,52821832.0,ns,18
reachability/hydroflow,,,,,52850031.0,ns,18
reachability/hydroflow,,,,,52804732.0,ns,18
reachability/hydroflow,,,,,52865731.0,ns,18
reachability/hydroflow,,,,,52923832.0,ns,18
reachability/hydroflow,,,,,52815731.0,ns,18
reachability/hydroflow,,,,,52800631.0,ns,18
reachability/hydroflow,,,,,52898632.0,ns,18
reachability/hydroflow,,,,,52872632.0,ns,18
reachability/hydroflow,,,,,52941931.0,ns,18
