group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reachability/hydroflow,,,,,50973923.0,ns,15
reachability/hydroflow,,,,,49295002.0,ns,15
reachability/hydroflow,,,,,50066512.0,ns,15
reachability/hydroflow,,,,,50647619.0,ns,15
reachability/hydroflow,,,,,52436641.0,ns,15
reachability/hydroflow,,,,,49725008.0,ns,15
reachability/hydroflow,,,,,49962911.0,ns,15
reachability/hydroflow,,,,,49096700.0,ns,15
reachability/hydroflow,,,,,49255302.0,ns,15
reachability/hydroflow,,,,,47975986.0,ns,15
reachability/hydroflow,,,,,56050885.0,ns,15
reachability/hydroflow,,,,,49769508.0,ns,15
reachability/hydroflow,,,,,47805985.0,ns,15
reachability/hydroflow,,,,,50621118.0,ns,15
reachability/hydroflow,,,,,50588519.0,ns,15
reachability/hydroflow,,,,,48969698.0,ns,15
reachability/hydroflow,,,,,50103412.0,ns,15
reachability/hydroflow,,,,,51264127.0,ns,15
reachability/hydroflow,,,,,52886646.0,ns,15
reachability/hydroflow,,,,,51466729.0,ns,15
reachability/hydroflow,,,,,56035385.0,ns,15
reachability/hydroflow,,,,,56226987.0,ns,15
reachability/hydroflow,,,,,51729333.0,ns,15
reachability/hydroflow,,,,,51838633.0,ns,15
reachability/hydroflow,,,,,50880322.0,ns,15
reachability/hydroflow,,,,,52823546.0,ns,15
reachability/hydroflow,,,,,56747493.0,ns,15
reachability/hydroflow,,,,,49903810.0,ns,15
reachability/hydroflow,,,,,48965298.0,ns,15
reachability/hydroflow,,,,,49873910.0,ns,15
reachability/hydroflow,,,,,49091600.0,ns,15
reachability/hydroflow,,,,,48081188.0,ns,15
reachability/hydroflow,,,,,47887585.0,ns,15
reachability/hydroflow,,,,,51891134.0,ns,15
reachability/hydroflow,,,,,49893510.0,ns,15
reachability/hydroflow,,,,,47098276.0,ns,15
reachability/hydroflow,,,,,52718244.0,ns,15
reachability/hydroflow,,,,,49935210.0,ns,15
reachability/hydroflow,,,,,51064024.0,ns,15
reachability/hydroflow,,,,,48914998.0,ns,15
reachability/hydroflow,,,,,54312564.0,ns,15
reachability/hydroflow,,,,,47255877.0,ns,15
reachability/hydroflow,,,,,49195602.0,ns,15
reachability/hydroflow,,,,,51392728.0,ns,15
reachability/hydroflow,,,,,50766220.0,ns,15
reachability/hydroflow,,,,,58248712.0,ns,15
reachability/hydroflow,,,,,52062236.0,ns,15
reachability/hydroflow,,,,,49149801.0,ns,15
reachability/hydroflow,,,,,48301490.0,ns,15
reachability/hydroflow,,,,,50625219.0,ns,15
reachability/hydroflow,,,,,50418616.0,ns,15
reachability/hydroflow,,,,,47818385.0,ns,15
reachability/hydroflow,,,,,57190699.0,ns,15
reachability/hydroflow,,,,,47589181.0,ns,15
reachability/hydroflow,,,,,50522718.0,ns,15
reachability/hydroflow,,,,,48939598.0,ns,15
reachability/hydroflow,,,,,51702532.0,ns,15
reachability/hydroflow,,,,,48195389.0,ns,15
reachability/hydroflow,,,,,52852246.0,ns,15
reachability/hydroflow,,,,,49199801.0,ns,15
reachability/hydroflow,,,,,50783921.0,ns,15
reachability/hydroflow,,,,,47059575.0,ns,15
reachability/hydroflow,,,,,54124561.0,ns,15
reachability/hydroflow,,,,,48484792.0,ns,15
reachability/hydroflow,,,,,50418616.0,ns,15
reachability/hydroflow,,,,,56745594.0,ns,15
reachability/hydroflow,,,,,50877422.0,ns,15
reachability/hydroflow,,,,,48945998.0,ns,15
reachability/hydroflow,,,,,58352813.0,ns,15
reachability/hydroflow,,,,,48161789.0,ns,15
reachability/hydroflow,,,,,57477802.0,ns,15
reachability/hydroflow,,,,,49373504.0,ns,15
reachability/hydroflow,,,,,49143900.0,ns,15
reachability/hydroflow,,,,,48749196.0,ns,15
reachability/hydroflow,,,,,48466492.0,ns,15
reachability/hydroflow,,,,,48818097.0,ns,15
reachability/hydroflow,,,,,51399528.0,ns,15
reachability/hydroflow,,,,,52100737.0,ns,15
reachability/hydroflow,,,,,49536605.0,ns,15
reachability/hydroflow,,,,,49535506.0,ns,15
reachability/hydroflow,,,,,50144313.0,ns,15
reachability/hydroflow,,,,,50309215.0,ns,15
reachability/hydroflow,,,,,54559967.0,ns,15
reachability/hydroflow,,,,,50224413.0,ns,15
reachability/hydroflow,,,,,55120374.0,ns,15
reachability/hydroflow,,,,,52576743.0,ns,15
reachability/hydroflow,,,,,51027123.0,ns,15
reachability/hydroflow,,,,,50982424.0,ns,15
reachability/hydroflow,,,,,51950834.0,ns,15
reachability/hydroflow,,,,,56961097.0,ns,15
reachability/hydroflow,,,,,56390689.0,ns,15
reachability/hydroflow,,,,,50347215.0,ns,15
reachability/hydroflow,,,,,49766309.0,ns,15
reachability/hydroflow,,,,,49359903.0,ns,15
reachability/hydroflow,,,,,51241926.0,ns,15
reachability/hydroflow,,,,,51025724.0,ns,15
reachability/hydroflow,,,,,49909310.0,ns,15
reachability/hydroflow,,,,,52918847.0,ns,15
reachability/hydroflow,,,,,49142200.0,ns,15
reachability/hydroflow,,,,,53771457.0,ns,15
